year_month,PM25,PM10,NO_2,O_3,SO_2,categoria_PM25,categoria_PM10,categoria_NO_2,categoria_O_3,categoria_SO_2,Calidad_Aire_General
2005-10,18.45571962282193,34.75190681861769,63.71185189748379,20.334601677461812,8.587620413539192,2,2,2,1,1,Bueno
2005-11,18.61982355037652,33.443419922772456,68.78872465291525,17.34902765306674,13.562866584072319,2,2,2,1,1,Bueno
2005-12,17.582816782467177,31.2500491061631,73.58550036261227,16.353374395906346,16.861403089275495,2,2,2,1,1,Bueno
2006-01,17.361398103687918,29.520244624112063,70.63519946208845,16.777128981370662,15.168669368240325,2,2,2,1,1,Bueno
2006-02,21.49536283121751,41.36973944519776,75.5168645490849,19.470935604174112,17.74728349363379,2,2,2,1,1,Bueno
2006-03,15.830744581797203,31.099034253369496,51.3694158890904,30.246475140531558,11.634190144352434,2,2,2,1,1,Bueno
2006-04,14.81102452839849,29.061352548345486,52.7914169811387,39.272998634473886,8.58408573006345,1,2,2,1,1,Bueno
2006-05,19.51855455521478,41.573415044083845,57.49765610329197,43.10462911694938,7.975216289209037,2,2,2,1,1,Bueno
2006-06,22.041478191828883,43.3178074670527,59.28552899359791,54.90616775367925,8.181491037270044,2,2,2,1,1,Bueno
2006-07,22.79494638710511,45.53268318515648,59.495153649826634,56.57320445292956,8.670817098287975,2,2,2,1,1,Bueno
2006-08,15.964498623802855,34.137094247763585,46.4313165591847,57.18976029968778,8.195141571745456,2,2,1,1,1,Bueno
2006-09,20.033731360382358,40.996145866342225,60.85844502864537,36.664397040232586,9.09583942349082,2,2,2,1,1,Bueno
2006-10,18.40821443749265,38.00425184296591,59.81424872133716,24.742366048768865,8.72795825030028,2,2,2,1,1,Bueno
2006-11,17.569138122633525,32.71811232096734,64.81221285650516,17.453703865998136,10.459097575706338,2,2,2,1,1,Bueno
2006-12,18.51596087334531,35.28351509324511,70.92991553787931,16.373191803165685,15.841933130240726,2,2,2,1,1,Bueno
2007-01,22.37363941372887,43.06331300432143,69.00451703840362,13.494392159999617,16.558822230996388,2,2,2,1,1,Bueno
2007-02,15.79409931050723,30.728883239239398,54.828093227800196,24.51942970926796,13.54234326431379,2,2,2,1,1,Bueno
2007-03,14.336410265079072,28.503968565075407,56.35722955988918,39.44077146174125,12.316008075279363,1,2,2,1,1,Bueno
2007-04,16.734822902613296,29.477251827921183,59.34921574391798,43.49067782781712,8.697879875521904,2,2,2,1,1,Bueno
2007-05,15.520397225421293,27.620912946533146,57.758783751916035,42.62909498567194,6.85852059118799,2,2,2,1,1,Bueno
2007-06,14.864075230497468,26.76052291159895,56.764365737418544,44.93467544618493,7.114833233807784,1,2,2,1,1,Bueno
2007-07,14.932673202752664,32.909147705271145,48.06772477540562,51.73978748874926,7.457545530400624,1,2,1,1,1,Bueno
2007-08,16.665754146347346,35.96417845736309,42.033732056654834,54.91836988669009,7.136459574113377,2,2,1,1,1,Bueno
2007-09,17.97990828531679,34.92702575827713,55.39240127271674,41.843261345496884,6.627054483112452,2,2,2,1,1,Bueno
2007-10,18.182265599128375,30.91398003479628,63.03685022192119,25.01315769445161,8.151527856705135,2,2,2,1,1,Bueno
2007-11,22.074485818251166,41.36520919343077,82.66332882358884,16.493409823236483,18.14418645819366,2,2,2,1,1,Bueno
2007-12,19.721875395959476,35.51108218670077,75.06604809935841,13.08378403487559,19.04379351266034,2,2,2,1,1,Bueno
2008-01,17.938795863634518,32.9330884323545,66.07668330233301,16.936224391253464,16.4780834533694,2,2,2,1,1,Bueno
2008-02,16.101254516479557,29.75970034258281,64.52750556778662,22.487169054783347,14.579671153320705,2,2,2,1,1,Bueno
2008-03,11.461703257219256,21.795521108512645,47.470283287547225,42.648762616623166,10.824358278436916,1,1,1,1,1,Muy Bueno
2008-04,11.625140605220057,22.532622149742522,50.933437000000076,47.81415493999589,7.917273212729952,1,1,2,1,1,Bueno
2008-05,11.775438037813862,21.799417916856527,48.75406838960586,48.40465985151636,7.065775558599178,1,1,1,1,1,Muy Bueno
2008-06,14.732606255939059,24.706862148133897,49.29541346731991,58.243460946663376,7.115617582783859,1,1,1,1,1,Muy Bueno
2008-07,14.70752382621301,30.343194561781452,48.95926969325628,58.123117449933645,7.458282562342719,1,2,1,1,1,Bueno
2008-08,13.259237831802585,29.085231381584013,45.515176170024866,58.867299852929364,7.738732343175972,1,2,1,1,1,Bueno
