date,PM25,PM10,NO_2,O_3,SO_2,categoria_PM25,categoria_PM10,categoria_NO_2,categoria_O_3,categoria_SO_2,Calidad_Aire_General
2016-08-24,7.274647887323944,20.874125874125873,29.196180555555557,68.74702380952381,6.775,1,1,1,2,1,Bueno
2016-08-25,6.4375,19.038194444444443,32.435763888888886,70.45535714285714,6.0375,1,1,1,2,1,Bueno
2016-08-26,9.564885496183207,26.50181818181818,33.848958333333336,74.91666666666667,6.4,1,2,1,2,1,Bueno
2016-08-27,14.743055555555555,41.46875,29.421875,69.50595238095238,6.304166666666666,1,2,1,2,1,Bueno
2016-08-28,20.96323529411765,60.97857142857143,41.77447552447553,59.78549848942598,6.543933054393306,2,3,1,1,1,Regular
2016-08-29,13.5,30.492592592592594,31.344405594405593,77.32142857142857,6.359832635983263,1,2,1,2,1,Bueno
2016-08-30,9.5,20.94097222222222,27.475524475524477,68.44776119402985,5.803347280334728,1,1,1,2,1,Bueno
2016-08-31,12.340277777777779,28.958333333333332,39.07557117750439,66.2827380952381,6.298319327731092,1,2,1,2,1,Bueno
2016-09-01,11.340425531914894,27.305263157894736,30.904347826086955,69.74925373134329,6.441666666666666,1,2,1,2,1,Bueno
2016-09-02,10.708333333333334,24.70138888888889,47.81944444444444,61.916666666666664,6.233333333333333,1,1,1,2,1,Bueno
2016-09-03,13.534722222222221,27.3125,52.41319444444444,62.964285714285715,6.970833333333333,1,2,2,2,1,Bueno
2016-09-04,16.506944444444443,41.37979094076655,54.748263888888886,51.18154761904762,7.633333333333334,2,2,2,1,1,Bueno
2016-09-05,18.594405594405593,47.80836236933798,56.4375,48.01497005988024,7.566666666666666,2,2,2,1,1,Bueno
2016-09-06,14.833333333333334,39.607638888888886,61.91289198606272,47.06287425149701,7.458333333333333,1,2,2,1,1,Bueno
2016-09-07,16.72222222222222,47.80555555555556,58.092013888888886,35.73809523809524,8.9,2,2,2,1,1,Bueno
2016-09-08,22.131944444444443,43.75,46.87152777777778,69.77313432835821,7.095833333333333,2,2,1,2,1,Bueno
2016-09-09,12.04861111111111,24.94055944055944,33.60243055555556,64.54761904761905,6.254166666666666,1,1,1,2,1,Bueno
2016-09-10,11.242857142857142,20.669014084507044,31.223958333333332,75.70535714285714,6.55,1,1,1,2,1,Bueno
2016-09-11,12.195804195804195,21.88850174216028,33.48347826086957,76.62985074626866,7.334728033472803,1,1,1,2,1,Bueno
2016-09-12,14.493055555555555,30.413194444444443,54.81151832460733,50.99700598802395,7.102564102564102,1,2,2,1,1,Bueno
2016-09-13,10.229166666666666,28.507042253521128,27.56893542757417,51.99698795180723,5.7040358744394615,1,2,1,1,1,Bueno
2016-09-14,4.347222222222222,7.732638888888889,27.111888111888113,40.93712574850299,5.8,1,1,1,1,1,Muy Bueno
2016-09-15,4.986111111111111,10.257142857142858,31.0,41.713855421686745,5.8277310924369745,1,1,1,1,1,Muy Bueno
2016-09-16,6.083333333333333,11.98263888888889,33.00868055555556,46.17365269461078,5.979166666666667,1,1,1,1,1,Muy Bueno
2016-09-17,4.423611111111111,7.079861111111111,22.8125,45.083333333333336,5.470833333333333,1,1,1,1,1,Muy Bueno
2016-09-18,4.534722222222222,7.954861111111111,20.102430555555557,55.05671641791045,5.691666666666666,1,1,1,1,1,Muy Bueno
2016-09-19,6.395833333333333,12.85763888888889,42.75609756097561,45.91591591591592,6.7125,1,1,1,1,1,Muy Bueno
2016-09-20,8.215827338129497,14.802120141342757,44.940140845070424,52.9044776119403,6.933333333333334,1,1,1,1,1,Muy Bueno
2016-09-21,10.729166666666666,18.645833333333332,50.68586387434555,48.973214285714285,7.691666666666666,1,1,2,1,1,Bueno
2016-09-22,12.659722222222221,23.85053380782918,63.46678321678322,43.06287425149701,7.183333333333334,1,1,2,1,1,Bueno
2016-09-23,14.20138888888889,26.851063829787233,69.59965034965035,37.5625,7.594017094017094,1,2,2,1,1,Bueno
2016-09-24,13.625,23.909407665505228,54.73913043478261,49.36607142857143,6.629166666666666,1,1,2,1,1,Bueno
2016-09-25,14.444444444444445,24.274305555555557,54.38768115942029,47.26190476190476,7.195833333333334,1,1,2,1,1,Bueno
2016-09-26,14.217391304347826,20.45744680851064,38.73297491039426,52.858006042296076,6.815899581589958,1,1,1,1,1,Muy Bueno
2016-09-27,7.854961832061068,15.72,32.157243816254415,53.015290519877674,7.265822784810126,1,1,1,1,1,Muy Bueno
2016-09-28,7.861111111111111,12.098245614035088,24.038394415357764,42.59281437125748,7.1625,1,1,1,1,1,Muy Bueno
2016-09-29,12.113475177304965,23.010526315789473,46.4140350877193,52.308383233532936,7.620833333333334,1,1,1,1,1,Muy Bueno
2016-09-30,14.253623188405797,22.663120567375888,56.17217391304348,42.52095808383233,7.310924369747899,1,1,2,1,1,Bueno
2016-10-01,11.243055555555555,24.038194444444443,53.26842105263158,45.044642857142854,7.708333333333333,1,1,2,1,1,Bueno
2016-10-02,9.76388888888889,18.958333333333332,41.97569444444444,44.80654761904762,6.954166666666667,1,1,1,1,1,Muy Bueno
2016-10-03,13.041666666666666,26.166666666666668,59.526041666666664,43.13392857142857,8.966666666666667,1,2,2,1,1,Bueno
2016-10-04,14.45138888888889,35.25088339222615,67.38020833333333,42.8125,8.308333333333334,1,2,2,1,1,Bueno
2016-10-05,16.309859154929576,43.79347826086956,67.33159722222223,42.25595238095238,8.008333333333333,2,2,2,1,1,Bueno
2016-10-06,15.635714285714286,38.71955719557196,71.16347826086957,36.669642857142854,7.379166666666666,2,2,2,1,1,Bueno
2016-10-07,11.584507042253522,25.073426573426573,63.30034722222222,35.4375,7.741666666666666,1,2,2,1,1,Bueno
2016-10-08,10.819444444444445,21.788194444444443,64.07291666666667,34.80487804878049,8.091666666666667,1,1,2,1,1,Bueno
2016-10-09,11.430555555555555,23.32986111111111,42.484375,55.131410256410255,7.889867841409692,1,1,1,1,1,Muy Bueno
2016-10-10,8.798561151079136,16.103571428571428,41.041739130434784,52.17142857142857,7.925438596491228,1,1,1,1,1,Muy Bueno
2016-10-11,11.274809160305344,23.810909090909092,54.86086956521739,48.825688073394495,7.894957983193278,1,1,2,1,1,Bueno
2016-10-12,10.930555555555555,17.447916666666668,27.59201388888889,50.55820895522388,7.729166666666667,1,1,1,1,1,Muy Bueno
